end,production_resource_name,start,avail_qty,nominal_power,Total_Capacity,Outage_Factor
2023-12-01 12:30:00+00:00,Alqueva,2023-12-01 12:00:00+00:00,0,127.0,,0.0
2023-12-01 12:45:00+00:00,Alqueva,2023-12-01 12:30:00+00:00,0,127.0,,0.0
2023-12-01 13:00:00+00:00,Alqueva,2023-12-01 12:45:00+00:00,0,127.0,,0.0
2023-12-12 10:00:00+00:00,Alqueva,2023-12-12 09:00:00+00:00,0,127.0,,0.0
2023-12-12 10:15:00+00:00,Alqueva,2023-12-12 10:00:00+00:00,0,127.0,,0.0
2023-12-16 03:45:00+00:00,Alqueva,2023-12-16 03:45:00+00:00,0,127.0,,0.0
2023-12-16 04:00:00+00:00,Alqueva,2023-12-16 03:45:00+00:00,0,127.0,,0.0
2023-12-18 16:00:00+00:00,Alqueva,2023-12-16 04:00:00+00:00,0,127.0,,0.0
2023-12-18 16:30:00+00:00,Alqueva,2023-12-18 16:00:00+00:00,0,127.0,,0.0
2023-12-18 16:30:00+00:00,Alqueva,2023-12-18 16:30:00+00:00,0,127.0,,0.0
2023-12-19 12:00:00+00:00,Alqueva,2023-12-19 11:00:00+00:00,0,127.0,,0.0
2023-12-19 12:30:00+00:00,Alqueva,2023-12-19 12:00:00+00:00,0,127.0,,0.0
2023-12-19 12:30:00+00:00,Alqueva,2023-12-19 12:30:00+00:00,0,127.0,,0.0
2023-12-20 18:30:00+00:00,Alqueva,2023-12-20 18:15:00+00:00,0,127.0,,0.0
2023-12-20 18:15:00+00:00,Alqueva,2023-12-20 18:15:00+00:00,0,127.0,,0.0
2023-12-20 19:00:00+00:00,Alqueva,2023-12-20 18:30:00+00:00,0,127.0,,0.0
2023-12-20 22:00:00+00:00,Alqueva,2023-12-20 19:00:00+00:00,0,127.0,,0.0
2023-12-20 22:30:00+00:00,Alqueva,2023-12-20 22:00:00+00:00,0,127.0,,0.0
2023-12-20 22:45:00+00:00,Alqueva,2023-12-20 22:30:00+00:00,0,127.0,,0.0
2023-12-20 22:45:00+00:00,Alqueva,2023-12-20 22:45:00+00:00,0,127.0,,0.0
2023-01-01 03:00:00+00:00,Alto Lindoso,2023-01-01 00:00:00+00:00,0,630.0,,0.0
2023-01-01 03:30:00+00:00,Alto Lindoso,2023-01-01 03:00:00+00:00,0,630.0,,0.0
2023-01-01 03:45:00+00:00,Alto Lindoso,2023-01-01 03:30:00+00:00,0,630.0,,0.0
2023-01-01 04:00:00+00:00,Alto Lindoso,2023-01-01 03:45:00+00:00,0,630.0,,0.0
2023-01-04 13:00:00+00:00,Alto Lindoso,2023-01-04 11:00:00+00:00,0,630.0,,0.0
2023-01-04 13:30:00+00:00,Alto Lindoso,2023-01-04 13:00:00+00:00,0,630.0,,0.0
2023-01-04 13:30:00+00:00,Alto Lindoso,2023-01-04 13:30:00+00:00,0,630.0,,0.0
2023-04-10 16:00:00+00:00,Alto Lindoso,2023-04-10 08:00:00+00:00,0,315.0,,0.0
2023-04-12 16:00:00+00:00,Alto Lindoso,2023-04-12 08:00:00+00:00,0,315.0,,0.0
2023-04-13 16:00:00+00:00,Alto Lindoso,2023-04-13 08:00:00+00:00,0,315.0,,0.0
2023-04-18 13:00:00+00:00,Alto Lindoso,2023-04-18 13:00:00+00:00,0,315.0,,0.0
2023-04-18 17:00:00+00:00,Alto Lindoso,2023-04-18 13:00:00+00:00,0,315.0,,0.0
2023-04-18 17:15:00+00:00,Alto Lindoso,2023-04-18 17:00:00+00:00,0,315.0,,0.0
2023-05-26 17:30:00+00:00,Alto Lindoso,2023-05-14 11:00:00+00:00,0,2835.0,,0.0
